"page","id","name","description","availability","abv","ibu","brewer_id","brewer_name","style_id","style_name","category_id","category_name","srm_id","srm_color"
"1","BjmFMX","'Scott's Addition' India Pale Ale","Finally an Isley IPA.... You will fall in love with this hoppy brew that comes through at 90 IBU's. The nose is piney with a hint of citrus, and the medium body and caramel maltiness are a refreshing change from your typical IPA. This ale crosses the line and tears through the stereotypes. … Give it a shot",NA,7.5,90,"HZS3wv","Isley Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","GMWSAD","(401) India Pale Ale",NA,NA,NA,NA,"rK3t7T","Stony Creek Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","ezGh5N","(512) IPA","(512) India Pale Ale is a big, aggressively dry-hopped American IPA with smooth bitterness (~65 IBU) balanced by medium maltiness. Organic 2-row malted barley, loads of hops, and great Austin water create an ale with apricot and vanilla aromatics that lure you in for more.","Year Round",7,65,"cJio9R","(512) Brewing Company",30,"American IPA",3,"North American Origin Ales",8,"#EA8F00"
"1","bXwskR","(512) White IPA","Refreshingly light, this Belgian inspired India Pale Ale delivers hot weather satisfaction with pronounced hop character and flavor. Built like a Belgian wheat beer, but brewed, hopped and finished  like an IPA, two classic brewing cultures collide in this delightful creation that is both sessionable and amazingly flavorful.","Summer",5.3,55,"cJio9R","(512) Brewing Company",30,"American IPA",3,"North American Origin Ales",4,"#FFBF42"
"1","jj8YRF","(860) India Pale Ale",NA,NA,NA,NA,"rK3t7T","Stony Creek Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","FLkbzq","(KU)Jenga Smash","IPA Collab w/ Two Stones Brewpub.",NA,7.7,NA,"pcNq92","Coppertail Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","3BSrTW","(Take The) Causeway IPA","Copious amounts of Citra and Simcoe hops are used throughout the brewing process in this American India Pale Ale. From first-wort to bittering, flavor, aroma and dry hops, an artful combination of just two extraordinary hops leads to an explosively hoppy finish on the palate. These hops are hard for us to get our hands on, so get it while you can.","Year Round",7.5,56,"iNQxzm","Fairhope Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","ljNzIS",".58 Caliber",NA,"Year Round",NA,NA,"jcF9Q6","Lincoln Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","IWY0Yp","007 Undercover IPA","Named for our seventh batch of beer, code named 007 Undercover IPA, our larger-than-life American IPA produces a hop aroma so thick you can almost see it. Pale, Caramel, and Caravienne malts create the big body and supporting grainy sweetness, while hops deliver pronounced bitterness with a dominant citrus aroma and flavor. Hopped to perfection with seven different varieties including Simcoe, Cascade, Chinook and Amarillo, to name a few. This IPA slips under the radar as a strong ale like no other.",NA,7,70,"GN1WbX","The Lost Borough Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","b0mE6Y","05.30.16 Tangerine IPA","After brewing this intense double IPA with more than 10 different hops and consistently delivering it faster than any bottled IPA on the planet, we decided to do something different with this Stone Enjoy By IPA—we took it to another level, again. Puréed tangerines were added to the batch to create a devastatingly fresh IPA with a tang of tangerine. The orangey, tangerine flavors yielded by this addition to the recipe meld beautifully with the bitterness of the hops. True to this series, Stone Enjoy By Tangerine IPA is brewed specifically NOT to last, and should be enjoyed within 37 days.",NA,9.4,90,"709vEK","Stone Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","NdKcGT","05|18 IPA - Galaxy & Nelson","This powerfully juicy and punchy combination of Australian and New Zealand hops packs tropical fruit and lip-smacking bitterness in spades.",NA,6.3,NA,"W6h1pn","Brew by Numbers",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","sZ2T10","1.21 Giga-Hops IPA","You’ll be exclaiming “Great Scott!!” once you try this crisp refreshing IPA.  With its subtle citrus taste, great American hop aroma, and stunning platinum gold color you’ll understand why we say 1.21 Giga-Hops is what makes flavor possible.",NA,7.3,79,"nrqMKx","Fargo Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","BWQehj","10 Barrel OG. Wheat IPA",NA,NA,6.5,NA,"snQlvg","10 Barrel Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","GedKyt","10-9 Bike Messenger Appreciation IPA",NA,NA,10.9,NA,"qlwwem","Spiteful Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","RLLEqZ","10-Year IPA","Specially brewed in celebration of our 10 year anniversary, this light-bodied white IPA is brewed with wheat and oats, generously hopped with Citra and Mosaic hops for a clean, floral, punchy hop finish.  Refreshing and irresistible!","Limited",6,NA,"gUJBgl","Yazoo Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","bzcvG5","10/6th IPA","Bold and refreshing, this IPA combines an abundance of hops with a smooth malt profile. It is however, uniquely brewed to be like no other because it is a subtle IPA, not an overpowering single note.",NA,7.2,111,"Y3doTs","White Rabbit Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","s6sdke","100 Acres IPA","Drawing equal cues from both the English and American IPA traditions, the 100 Acres IPA exudes a beautiful bouquet of clean pine and floral aromas with a firm bitterness that excites without overwhelming the palate.  All these hops are supported by a firm biscuity, honey malt which make this IPA a well balanced and tasty beer.",NA,6,NA,"2qVpVo","Pact Beer Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","FYezHA","100 Barrel Series #49 - Brown IPA","I wanted to take our ongoing exploration of IPAs in a completely new direction, layering classic American hops over the malty base of a rich brown ale. Sweet, roasted notes of chocolate and honey malts combine with the pine and citrus of Chinook, Simcoe and Amarillo hops in this hearty and welcome addition to our family of IPAs.","Limited",5.7,60,"RzvedX","Harpoon Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","RNQmKc","100 Daze IPA","A decidedly hoppy and bitter, moderately strong American ale, showcasing modern American hop varieties. The balance is hop forward, with a clean fermentation profile, dry finish, and clean, supporting malt allowing a creative range of hop character to shine through. The Daughter of two of Rod’s favorite Hops, Simcoe and Nugget, both are showcased in our 100 Daze IPA.","Year Round",7,69,"pukGBN","Big Beach Brewing",30,"American IPA",3,"North American Origin Ales",7,"#F39C00"
"1","rrAghW","100 Galaxies India Pale Ale","Vibrant hop bouquet with elements of floral, tropical and citrus aromas. Lush mouthfeel with big resinous flavors and a bold finish. Brewed with Weyermann Pale and Pilsner malt, Cascade, Centennial, Galaxy & El Dorado hops, and our proprietary German yeast strain.",NA,6.8,60,"5qaoia","Redwood Curtain Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","KrKXgs","100 Spoke IPA","This is an old school IPA and its flavor originates from when spoke wheels and drop six-fours were hot. This beer hearkens back to IPA's English roots, but with classic American hops like cascade and centennial.",NA,6.7,70,"CrSmEf","Lupulin Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","Y7qB8a","107' India Pale Ale","Brewed with Pilsner Wheat, Spelt, and light caramel malts. Hopped with Citra, Centennial, and Columbus. Conditioned atop New Jersey Pine Barren needles harvested locally. This IPA will be very pine focused with mild fruitiness. A modern interpretation to a West Coast IPA.","Year Round",7.5,NA,"jbHZug","Hidden Sands Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","DyNPlC","11/11 India Pale Ale",NA,NA,NA,NA,"YXhV4S","Finger Lakes Beer Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","mtFCP5","11th Hour IPA","Hop aroma and flavor dominate this IPA. However, the malt character of this deep amber colored ale nicely balances the hop component thus avoiding a harsh bitterness. Pure hoppiness!","Year Round",NA,NA,"WkIaQj","Crow Peak Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","k6x1Eb","12 Gauge",NA,NA,9.9,100,"oJkeNe","Pigskin Brewing Company",30,"American IPA",3,"North American Origin Ales",9,"#E58500"
"1","TRptV0","12 Hops Of Christmas","12 Hops of Christmas is our is our celebration brew that we concocted with 12 different hops.  This IPA is light in color and dry to the finish.  Celebrate the 12 Days of Christmas with each of theses...Amarillo, Apollo, Bravo, Citra, Centinninal, Calypso, Cascade, Chinook, Nugget, Millenium, Warrior, and Zythos.","Seasonal",7,NA,"Ao55dX","Millbock Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","n1oDDP","1225 IPA",NA,NA,5.9,NA,"wzglGB","Right Brain Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","sagn7Z","1347","Citra, simcoe and tomahawk hops",NA,7.1,NA,"PgXuOO","Black Plague Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","TW67DY","13th Task Golden IPA","Often we find ourselves up against seemingly impossible tasks. This beer here is to ease the burden of heroes. 



 Brewed with Herkules and Medusa hops, the 13th Task Golden IPA is Dangerous Man and Fulton's fight against the titans of beer. The ancient world was filled with pedigree, and this ale stands proud in it's lineage with Herkules derived from the German Hallertau Taurus. Medusa hops are a beast made from older gods and is a hop variety entirely different from anything derived from Europe. Soft fruit tones, including melon, peach, and mango, row in stead with the simple beat of the malt's drum. A golden demigod of a beer with a Gorgon's smile. Enjoy with a ferocity.",NA,6.6,53,"6XI3gD","Dangerous Man Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","598y5y","144 - Juicy Fruit","Hello gorgeous! Light golden orange in color. Bright and brilliant hop flavor and aroma — grapefruit, orange, a touch of lemon-lime, floral, juicy fruity awesomeness. This beauty of an IPA has just the right amount of that addictive hoppy bitterness that we all love, while the slightest hint of candy-like sweetness from the malt rounds it all out. Oh yeahhhh…","Year Round",6.1,NA,"s5lxSd","Twin Leaf Brewery",30,"American IPA",3,"North American Origin Ales",9,"#E58500"
"1","7Q94GB","1492 IPA","Single-hop IPA showcasing the Columbus hop.",NA,6,45,"ZQo2s5","Toppling Goliath Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","9216os","1620 IPA","Hazy with a rainbow of hop aromas and flavors, this NE IPA features Mosaic, Citra, Amarillo, and Idaho 7 hops, with a full body that is sure to please.",NA,6.3,16,"KOJZMA","Ipswich Ale Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","UzuDPF","1692",NA,NA,5.6,NA,"ksF9st","Twenty Nine Brewpub",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","nhWaz0","17 @ 17 IPA","American India Pale Ale. Distinct “West Coast” IPA flavors, including pine, citrus rind and hints of pineapple. Highlighting the flavor and aroma of Zythos hops.",NA,6.8,62,"UiKyP7","Rincon Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","w6nBIz","17 Anniversary Götterdämmerung IPA","Our latest anniversary beer, starring an all-German cast of malt and hops, is yet one more glorious example of a Stone IPA brewed outside the box. Our brewers have brought their experiments with German hops to fruition, leaving convention behind to create this hefty IPA entirely with pilsner malts. These provide a superbly crisp mouthfeel, while a unique mix of noble and new-school hop varieties adds layers of bright, bitter flavors. Despite the daunting name, this beer isn't designed to bring about the end of the world, but it just might destroy some of your preconceived notions of what an IPA can be.","Limited",9.5,102,"709vEK","Stone Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","HmiVrH","1771 IPA","Beautiful things come from unexpected combinations. That’s the magic of hop blends.  Sterling, with its spicy, herbal nobility, meets the ultra-modern, tropical fruit heavy Azacca, setting your senses awash in a juicy escapade.
Enjoy!","Year Round",7.3,NA,"w8xrXU","The Post Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","0JT6KM","1772","The newest member of our family. Copper in colour, this medium bodied ale has the IPA characteristics of being high in alcohol with a very bitter finish.","Year Round",6.5,NA,"aWY92l","The Gahan House",30,"American IPA",3,"North American Origin Ales",NA,NA
"1","0lOg3f","18-Pound Test IPA",NA,NA,6,100,"Ks7ij5","Bearpaw River Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","JsFb0I","180 IPA",NA,NA,7,NA,"ph98Iu","Tin Bridge Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","AE0Qmm","1805 IPA","Old world meets new world with this combination of American hops and barley with a European yeast. The Centennial hops produce a citrus and orange aroma combined with a light, drinkable body and a delicate, lacy head. Pine, resin and grass notes finish on the palate with a mild maltiness and a restrained bitter.",NA,6,60,"XHRxO0","Homestead Beer Co.",30,"American IPA",3,"North American Origin Ales",15,"#BB5100"
"2","ilFQn8","1856 IPA",NA,NA,6.8,NA,"Sldiyh","Augusta Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","XvS9zC","1864","Our 1864 American IPA pairs an outstanding hop profile with a medium malt body. It’s a truly smooth, approachable beer delivering a flavor that both IPA novices and hopheads alike will enjoy. And, at a venerable 6.3% ABV, it packs just the right amount of punch. Originally named in honor of the year Atlanta began to rebuild after being razed, 1864 also marks our beginning as a brewery. We couldn’t be prouder of this beer and what it represents. Here’s hoping you like it, too..","Year Round",6.3,NA,"6cX8an","Gate City Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","wPqLwT","1887 IPA","Ghost River 1887 IPA commemorates the first year that the famous Memphis Sands Aquifer was tapped. Now over 100 years later, Ghost River Brewing has turned Memphis’ water into an aggressively hopped beer IPA (India Pale Ale) using the bold assertive flavors of American varietal hops.",NA,NA,87,"MNe05B","Ghost River Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","SR5L1F","18th Anniversary Ale","This beer was conceptualized a bit later than usual, and several iterations were created before we settled on this recipe. Using a small amount of English Brown Coffee Malt in a double IPA seemed like an interesting idea to me, and was inspired in part by the success we had brewing Aleman/Two Brothers/Stone DayMan Coffee IPA and The Alchemist/Ninkasi/Stone More Brown Than Black IPA. The malt character is rich and complex, with hints of cocoa and coffee that don't interfere with the hop intensity. We used one of our favorite new hop varieties, El Dorado, 100 percent in the dry-hop stage, which provides a distinctive lemony character in the aroma and taste that we've come to affectionately describe as ""lemon candy.""",NA,8,75,"709vEK","Stone Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","PIbjTM","19","An IPA with a whopping 19 hop additions.

The hops and hop percentage in the beer are:

Simcoe 17.14%
Citra 15.72%
Amarillo 14.29%
Sorachi Ace 10.71%
Bravo 6.79%
Colombus 6.79%
Cluster 4.64%
Warrior 4.64%
Cascade 3.57%
Centennial 3.57%
Palisade 2.86%
Challenger 1.43%
Galena 1.43%
Magnum 1.43%
Mt. Hood 1.43%
Tettnanger 1.43%
Nugget 0.71%
Super Galena 0.71%
Willamette 0.71%",NA,6.9,NA,"tFoqj5","Mikkeller",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","9wNKio","1916 Shore Shiver","Man Eating Sharks Infest the Atlantic!

In the summer of 1916, a shark haunted the New Jersey coastline killing four & injuring seven. While there is much debate over what shark was responsible, there is no question that the attacks found their way into pop books & films  depicting one great white shark who made the shore shiver.",NA,6.9,NA,"Wl0ciU","Forgotten Boardwalk Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","TTFy4W","1PA","A West Coast India Pale Ale, with intense citrus flavors and aromas","Year Round",6.8,NA,"qO5uUC","Highway 1 Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","UAOQPd","1st Cutting IPA","A slightly malty IPA that utilizes bold citrus hops for heavy flavor and aroma.","Year Round",7,70,"FQZlDY","Humble Farmer Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","t4XVri","1st Gear IPA",NA,NA,6.2,68,"tBW3dJ","BackPedal Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","dyydfi","2 Bit",NA,NA,NA,NA,"YMxo1d","3 Guys and a Beer'd Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","6k8Zth","2 Paws IPA",NA,NA,5.8,NA,"9UjraO","Paw Paw Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","IzPs6w","200 West White IPA","Atomic Ale will soon be sharing with you one of the newest beer genres.  Brewed with wheat and pale malt, this White IPA exhibits beautiful citrus aromas from its Northwest hops that blend well with the esters of the yeast.  The beer pours with a cloudy pale  yellow color.  Imagine a “Hopped-Up Belgian White” that is so well balanced that it is both thirst quenching and complex.",NA,NA,NA,"h9obbv","Atomic Ale Brewpub and Eatery",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","gPiI06","2007 IPA","Our original India Pale recipe was changed in 2007 when Dave and Jaime Tenny of Coast Brewing successfully campaigned to raise the alcohol level allowed in beer sold in South Carolina.",NA,NA,NA,"jivaao","Hunter Gatherer Brewery and Alehouse",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","7zB0r4","201 Central Brett IPA",NA,NA,6.5,NA,"rfXHD7","Natty Greene's Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","FVnYRW","2013 Holiday IPA","American Style IPA using a roasted Malt for darker color.  Added Honey, Orange and Cinnamon for the Holidays","Winter",7.7,60,"5V7Qcw","GBrewhouse",30,"American IPA",3,"North American Origin Ales",12,"#CF6900"
"2","CuyOIE","2014 IPA",NA,"Not Available",NA,NA,"D6Fj9b","Southern Prohibition Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","e3T6vJ","2015 IPA",NA,"Limited",NA,NA,"D6Fj9b","Southern Prohibition Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","je59gU","2016 IPA","This year's IPA installment, 2016 IPA, arrives in early 2016. As a dry-hopped session IPA showcasing Galaxy and El Dorado hops, 2016 IPA clocks in at just under 5.5% ABV.","Limited",5.4,NA,"D6Fj9b","Southern Prohibition Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","ISTT06","2017 Beer Camp","At Beer Camp, no beer style is off limits, so we jumped at the idea of doing a Golden IPA using wheat malt for a light, dry body and bold American and experimental hops for intense citrus flavor. The perfect spring seasonal, we invite you to enjoy this year’s Beer Camp encore.",NA,6.5,50,"nHLlnK","Sierra Nevada Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","mZsdU6","2020 IPA","For the Spring 2014 Release in our Custom IPA Series we’ve partnered with the LA River Revitalization Corp to brew 2020 IPA—a dark red IPA, with a rich pine aroma, light roast, all balanced by a hearty hop bitterness.  2020 IPA celebrates the Greenway 2020 Project, which will connect 51 miles of the LA River—transforming it from a neglected, concrete riverbed to a connected, public green space by the year 2020. 

Track the progress at LA River Corp.","Seasonal",7.4,74,"6RZC0v","Golden Road Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","Qtccxh","206 IPA","The artist formally known as Draft Punk … same beer (well, we may have squeezed a few more hops in), new name paying homage to our beginnings at 206 W. Pratt St.",NA,7,NA,"ZjASuQ","Oliver Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","2857hA","20th Anniversary Experimental IPA","This refreshing session ale delivers citrus and pine notes from unique experimental hops. Two decades strong and we taste mighty fresh. Cheers to 20 years of Victory!","Spring",5.5,NA,"VoKbnS","Victory Brewing Company",30,"American IPA",3,"North American Origin Ales",1,"#FFE699"
"2","rf3USP","21A IPA","Deep golden color. Citrus and piney hop aromas. Assertive malt backbone supporting the overwhelming bitterness. Dry hopped in the fermenter with four types of hops giving an explosive hop aroma. Many refer to this IPA as Nectar of the Gods. Judge for yourself. Now Available in Cans!",NA,7.2,NA,"EdRcIs","21st Amendment Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","CvCdpH","21st Birthday IPA","Whole flower hops come of age in this refreshing India Pale Ale. Exciting flavors will be the life of the party as we celebrate 21 years of Victory.",NA,6.1,70,"VoKbnS","Victory Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","Cxe8y3","25th Anniversary Ale",NA,"Limited",7.1,NA,"iBzEfC","Rubicon Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","2HNSTr","25th Anniversary Argentum IPA","On the occasion of the 25th anniversary of Delirium Tremens, the beer masters of Brewery Huyghe have developed a special limited edition of the beer, which will only be available for a very short period in time. We already have a unique recipe, but we are still missing a unique label. Limited edition . IPA with 49 EBU. American hop with dry-hopping. Malted barley and wheat malt.",NA,7.8,NA,"8eyXN7","Brouwerij Huyghe",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","9cK1Cg","2nd Anniversary Ale",NA,"Limited",7.5,74,"5q71xs","Roughtail Brewing Company",30,"American IPA",3,"North American Origin Ales",14,"#C35900"
"2","wXzR3v","2nd Anniversary Belgian IPA","Our own take on this unique beer style incorporates a blend of Belgian yeasts from the Saison and Abbey brewing traditions. A very complex aroma with notes of sweet fruit, citrus and clove is balanced by clean bright refreshing beer that finishes with a subtle bitterness.","Limited",6.5,45,"kvM7wC","Cismontane Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","KLA1vd","2nd Crop Wet Hop IPA",NA,NA,7,NA,"o9yWqF","Country Boy Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","vwlWXv","2x4 DIPA",NA,NA,10,NA,"jNSCVA","Melvin Brewing",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","d9QHIs","2X4 IPA","Brewed to honor the glory and splendor of the hop. 2X4 utilizes only two malts in order to showcase four carefully select varieties of hops hence its name. Chinook, simcoe, centennial, and cascade create a deceptively pleasant aroma with citrus and tropical notes. Don’t let the smell fool yah, a massive piney flavor and finish awaits those who dare be hit with the 2X4 IPA.",NA,6.7,85,"VNqOKH","Hamilton Family Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","c7WT9s","2XONE","2XONE is brewed with Equinox hops and Superior Pale malt. We heard your feedback and have included the hop and malt varieties on the bottle label. Even simplified to one variety of hop and one type of malt, it is amazing how complex the flavor is. In a way it is a lot like looking into a kaleidoscope, where the simplest object suddenly becomes a transfixing multitude of images, repeating and reflecting until a whole is realized, only to watch it change yet again.","Not Available",8.1,NA,"x8kqVp","Southern Tier Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","3Axn2C","3 Year Anniversary IPA","We brewed this big beer with 16 grain and 7 hop varieties to create a special treat to share with you while celebrating our first 3 years of loving and making great beer. This beer was crafted by combining the leftover grain and hops we had sitting around from previous brews. The end result is a complex beer, copper in color, weighs in at a hefty 8.5% ABV and 93 IBU, and features big hop aroma.","Limited",8.5,93,"yfDPgj","Indiana City Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","65ZRnL","3-Way IPA","Great things come in threes. Grain, Hops and Yeast. Fort George, Block 15 and Boneyard. Beer, beer and beer. The return of 3-way IPA from Fort George Brewery brings them all together to fulfill every beer drinker’s fantasy.","Seasonal",5.7,NA,"EqYxQd","Fort George Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","CPisfB","3-Way IPA",NA,NA,NA,NA,"EqYxQd","Fort George Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","GRhg0x","3-Way IPA 2017","A fruit-forward haze of Citra, Mosaic, Azacca, and X331 hops play on a bassline of balanced malts with a New England keytar solo. This juicy collaboration between Fort George, Great Notion, and Reuben’s Brews strikes a smooth, electric gold West Coast riff on a Vermont style. Available at Pacific Northwest venues summer 2017. Unfiltered - drink fresh - keep cold-stored.","Limited",7,NA,"EqYxQd","Fort George Brewery",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","UY2Ujm","300 IPA","In celebration of the 300th batch at our Minneapolis brewery, we decided to brew a one-time only beer for our Garage Series. And since so many of those 300 batches have been IPAs, why not celerbate with an IPA? Batch 300 is built on a base of Weyermann Pilsner malt, and heavily hopped from start to finish with Mosaic, one of our favorite new American hop varieties. At 74 IBU and just under 7% ABV, Batch 300 will delight your palate without wearing it out.","Year Round",7,74,"5GoGSi","Fulton Brewing Company",30,"American IPA",3,"North American Origin Ales",NA,NA
"2","WeF2nK","31 Heroes","In August 2011, a helicopter carrying a group of military service members  – many of them Navy SEALs – was downed in Afghanistan. The tragedy is considered the largest single day loss of American lives in the history of Special Operation Forces.
The 30 service members (call sign ‘Extortion 17’) plus one military K9 have come to be known as the ’31 Heroes.’ We were approached by some of the local family members of the 31 Heroes about brewing a beer in their honor. Our wheat IPA was made to commemorate these fallen heroes on the date of the fifth anniversary of the crash. A portion of the proceeds of this beer, at the taproom release and in distribution, will go to The Special Operations Warrior Foundation, which provides college scholarships and educational counseling to the surviving children of Special Operations personnel killed in the line of duty.",NA,6.9,NA,"sCgeAO","Torn Label Brewing Co.",30,"American IPA",3,"North American Origin Ales",NA,NA
